"purl","group_id","artifact_id","git_url"
"pkg:maven/org.camunda.bpm/camunda-engine-plugin-spin","org.camunda.bpm","camunda-engine-plugin-spin","https://github.com/camunda/camunda-bpm-platform"
"pkg:maven/org.camunda.bpm.javaee/camunda-ejb-client","org.camunda.bpm.javaee","camunda-ejb-client","https://github.com/camunda/camunda-bpm-platform"
"pkg:maven/org.mule.modules/mule-module-devkit-support","org.mule.modules","mule-module-devkit-support","https://github.com/mulesoft/mule"
"pkg:maven/org.mule.modules/mule-module-jbossts","org.mule.modules","mule-module-jbossts","https://github.com/mulesoft/mule"
"pkg:maven/org.mule.modules/mule-module-management","org.mule.modules","mule-module-management","https://github.com/mulesoft/mule"
"pkg:maven/org.mule.tools/bobberplus","org.mule.tools","bobberplus","https://github.com/mulesoft/mule"
"pkg:maven/com.foxinmy/weixin4j-base","com.foxinmy","weixin4j-base","https://github.com/foxinmy/weixin4j"
"pkg:maven/org.camunda.bpm/camunda-engine-rest","org.camunda.bpm","camunda-engine-rest","https://github.com/camunda/camunda-bpm-platform"
"pkg:maven/org.mule.modules/mule-module-spring-security","org.mule.modules","mule-module-spring-security","https://github.com/mulesoft/mule"
"pkg:maven/com.badlogicgames.gdx/gdx-ai","com.badlogicgames.gdx","gdx-ai","https://github.com/libgdx/gdx-ai"
"pkg:maven/org.camunda.bpm/camunda-bom","org.camunda.bpm","camunda-bom","https://github.com/camunda/camunda-bpm-platform"
"pkg:maven/org.camunda.bpm.webapp/camunda-webapp","org.camunda.bpm.webapp","camunda-webapp","https://github.com/camunda/camunda-bpm-platform"
"pkg:maven/org.mule.modules/mule-module-builders","org.mule.modules","mule-module-builders","https://github.com/mulesoft/mule"
"pkg:maven/org.mule.modules/mule-module-jersey","org.mule.modules","mule-module-jersey","https://github.com/mulesoft/mule"
"pkg:maven/org.mule.transports/mule-transport-ftp","org.mule.transports","mule-transport-ftp","https://github.com/mulesoft/mule"
"pkg:maven/org.mule.transports/mule-transport-jms","org.mule.transports","mule-transport-jms","https://github.com/mulesoft/mule"
"pkg:maven/org.mule.transports/mule-transport-servlet","org.mule.transports","mule-transport-servlet","https://github.com/mulesoft/mule"
"pkg:maven/org.mule.transports/mule-transport-tcp","org.mule.transports","mule-transport-tcp","https://github.com/mulesoft/mule"
"pkg:maven/org.camunda.bpm/camunda-engine-plugin-connect","org.camunda.bpm","camunda-engine-plugin-connect","https://github.com/camunda/camunda-bpm-platform"
"pkg:maven/org.mule.modules/mule-module-db","org.mule.modules","mule-module-db","https://github.com/mulesoft/mule"
"pkg:maven/org.mule.modules/mule-module-json","org.mule.modules","mule-module-json","https://github.com/mulesoft/mule"
"pkg:maven/org.mule.modules/mule-module-launcher","org.mule.modules","mule-module-launcher","https://github.com/mulesoft/mule"
"pkg:maven/org.mule.transports/mule-transport-quartz","org.mule.transports","mule-transport-quartz","https://github.com/mulesoft/mule"
"pkg:maven/org.mule.transports/mule-transport-sftp","org.mule.transports","mule-transport-sftp","https://github.com/mulesoft/mule"
"pkg:maven/org.mule.transports/mule-transport-stdio","org.mule.transports","mule-transport-stdio","https://github.com/mulesoft/mule"
"pkg:maven/org.camunda.bpm/camunda-engine-spring","org.camunda.bpm","camunda-engine-spring","https://github.com/camunda/camunda-bpm-platform"
"pkg:maven/org.camunda.bpm.identity/camunda-identity-ldap","org.camunda.bpm.identity","camunda-identity-ldap","https://github.com/camunda/camunda-bpm-platform"
"pkg:maven/org.mule.transports/mule-transport-jdbc","org.mule.transports","mule-transport-jdbc","https://github.com/mulesoft/mule"
"pkg:maven/org.jcodec/jcodec","org.jcodec","jcodec","https://github.com/jcodec/jcodec"
"pkg:maven/com.twitter/parquet-hadoop","com.twitter","parquet-hadoop","https://github.com/apache/parquet-mr"
"pkg:maven/com.twitter/parquet-hadoop-bundle","com.twitter","parquet-hadoop-bundle","https://github.com/apache/parquet-mr"
"pkg:maven/com.twitter/parquet-jackson","com.twitter","parquet-jackson","https://github.com/apache/parquet-mr"
"pkg:maven/com.github.hotchemi/android-rate","com.github.hotchemi","android-rate","https://github.com/hotchemi/Android-Rate"
"pkg:maven/com.github.xiprox.errorview/library","com.github.xiprox.errorview","library","https://github.com/xiprox/ErrorView"
"pkg:maven/com.pholser/junit-quickcheck-generators","com.pholser","junit-quickcheck-generators","https://github.com/pholser/junit-quickcheck"
"pkg:maven/com.pholser/junit-quickcheck-core","com.pholser","junit-quickcheck-core","https://github.com/pholser/junit-quickcheck"
"pkg:maven/com.facebook.jcommon/zookeeper","com.facebook.jcommon","zookeeper","https://github.com/facebook/jcommon"
